arquivo,status,erro,num_acordes,usou_ocr
I Don_t Want To Miss A Thing.pdf,OK,,54,True
I Just Called To Say I Love You.pdf,OK,,31,False
I Want It That Way.pdf,OK,,120,False
I Want To Break Free.pdf,OK,,22,False
I Won't Give Up.pdf,OK,,83,False
I'm Yours.pdf,OK,,69,False
Imagine.pdf,OK,,96,False
Iris.pdf,OK,,18,True
Isn't She Lovely.pdf,OK,,88,False
Jackie Tequila.pdf,SEM_ACORDES,,0,False
João de Barro.pdf,OK,,68,False
Just The Way You Are.pdf,OK,,30,False
Just the two of us.pdf,OK,,162,True
La Belle De Jour.pdf,OK,,63,False
Lanterna Dos Afogados.pdf,OK,,37,True
Layla.pdf,OK,,47,False
Lenha.pdf,OK,,20,True
Let it be.pdf,OK,,14,True
Like a Stone.pdf,OK,,121,False
Linda Demais.pdf,OK,,78,True
Livin'on A Prayer.pdf,OK,,86,True
Logo Eu.pdf,OK,,51,True
Love of My Life.pdf,OK,,71,False
Luz Dos Olhos.pdf,OK,,119,True
Marvin.pdf,OK,,62,False
Mas Que Nada.pdf,OK,,110,False
Me Lambe.pdf,OK,,107,False
Me Namora.pdf,OK,,63,False
Menina Veneno.pdf,OK,,152,False
Metamorfose Ambulante.pdf,OK,,87,False
Meu Erro.pdf,OK,,69,True
Meu Ébano.pdf,OK,,38,True
Mil Razões.pdf,OK,,91,False
Mina do Condomínio.pdf,OK,,55,False
Mineirinho.pdf,OK,,15,True
Minha Alma.pdf,OK,,114,False
Monalisa.pdf,OK,,187,False
More Than Words.pdf,OK,,98,False
Morena Tropicana.pdf,OK,,47,False
Morena.pdf,OK,,59,False
Mulher de Fases.pdf,OK,,57,False
Mulheres.pdf,OK,,103,False
Mundo Animal.pdf,OK,,73,True
My Girl.pdf,OK,,47,False
Naquela Mesa.pdf,OK,,55,True
Natiruts Reggae Power.pdf,OK,,103,False
Nem Um Dia.pdf,OK,,45,False
Neon.pdf,SEM_ACORDES,,0,False
Nosso Xote.pdf,OK,,59,False
Nothing But a Song.pdf,OK,,95,False
Nova York.pdf,OK,,39,True
Não Deixe o Samba Morrer.pdf,OK,,15,True
Não Quero Dinheiro.pdf,OK,,65,False
O Descobridor Dos Sete Mares.pdf,OK,,100,False
O Destino Não Quis.pdf,OK,,39,True
O Girassol.pdf,OK,,116,False
